,Company,Symbol,Q3 Date,Q3 Price,Q2 Date,Q2 Price,Q1 Date,Q1 Price
183,Clorox Co,CLX,2020-06-30,218.3077,2020-03-31,171.4613,2019-12-31,150.9478
184,Apple Inc,AAPL,2020-06-27,,2020-03-28,,2019-12-28,
185,American Express Co,AXP,2020-09-30,100.25,2020-06-30,95.199997,2020-03-31,85.610001
186,Advanced Micro Devices Inc,AMD,2020-06-27,,2020-03-28,,2019-12-28,
187,First Republic Bank,FRC,2020-06-30,105.8011,2020-03-31,81.9773,2019-12-31,116.8222
188,Kraft Heinz Co,KHC,2020-06-27,,2020-03-28,,2019-12-28,
189,Paycom Software Inc,PAYC,2020-06-30,309.73,2020-03-31,202.01,2019-12-31,264.76
190,Western Digital Corp,WDC,2020-07-03,63.7746,2020-04-03,38.21,2020-01-03,63.7746
191,Marketaxess Holdings Inc,MKTX,2020-06-30,500.3326,2020-03-31,331.7854,2019-12-31,377.5506
192,Fortinet Inc,FTNT,2020-06-30,137.27,2020-03-31,101.17,2019-12-31,106.76
193,Copart Inc,CPRT,2020-07-31,93.25,2020-04-30,80.11,2020-01-31,101.46
194,Boeing Co,BA,2020-06-30,183.3,2020-03-31,149.14,2019-12-31,323.8333
195,A. O. Smith Corp,AOS,2020-06-30,46.9078,2020-03-31,37.4314,2019-12-31,46.9075
196,Everest Re Group Ltd,RE,2020-06-30,204.7478,2020-03-31,189.6249,2019-12-31,271.0175
197,Allstate Corp,ALL,2020-06-30,96.4269,2020-03-31,90.6935,2019-12-31,110.6332
198,Cooper Companies Inc,COO,2020-07-31,282.93,2020-04-30,286.6705,2020-01-31,346.8543
199,Alliant Energy Corp,LNT,2020-06-30,47.5034,2020-03-31,47.5905,2019-12-31,53.5805
200,LKQ Corp,LKQ,2020-06-30,26.2,2020-03-31,20.51,2019-12-31,35.7
201,Qorvo Inc,QRVO,2020-06-27,,2020-03-28,,2019-12-28,
202,Garmin Ltd,GRMN,2020-06-27,,2020-03-28,,2019-12-28,
203,Seagate Technology PLC,STX,2020-07-03,57.2309,2020-04-03,45.1758,2020-01-03,57.2309
204,Crown Castle International Corp,CCI,2020-06-30,167.35,2020-03-31,143.4046,2019-12-31,140.069
205,F5 Networks Inc,FFIV,2020-06-30,139.48,2020-03-31,106.63,2019-12-31,139.65
206,Leidos Holdings Inc,LDOS,2020-07-03,98.7501,2020-04-03,87.6421,2020-01-03,98.7501
207,Ventas Inc,VTR,2020-06-30,36.62,2020-03-31,26.4714,2019-12-31,55.4611
208,Kroger Co,KR,2020-08-15,,2020-05-23,,2020-02-01,
209,Western Union Co,WU,2020-06-30,21.62,2020-03-31,17.9489,2019-12-31,26.2429
210,D.R. Horton Inc,DHI,2020-06-30,55.3108,2020-03-31,33.7888,2019-12-31,52.2709
211,United Parcel Service Inc,UPS,2020-06-30,110.4762,2020-03-31,91.8651,2019-12-31,113.9823
212,Prudential Financial Inc,PRU,2020-06-30,59.9062,2020-03-31,50.3109,2019-12-31,89.4104
213,NiSource Inc,NI,2020-06-30,22.5471,2020-03-31,24.5646,2019-12-31,27.195
214,Aflac Inc,AFL,2020-06-30,35.7607,2020-03-31,33.7102,2019-12-31,51.8054
215,AES Corp,AES,2020-06-30,14.3556,2020-03-31,13.3393,2019-12-31,19.3812
216,Yum! Brands Inc,YUM,2020-06-30,86.487,2020-03-31,67.8412,2019-12-31,99.2727
217,Huntington Bancshares Inc,HBAN,2020-06-30,9.04,2020-03-31,8.0883,2019-12-31,14.5921
218,Progressive Corp,PGR,2020-06-30,80.0089,2020-03-31,73.6497,2019-12-31,69.9611
219,Humana Inc,HUM,2020-06-30,387.75,2020-03-31,313.4961,2019-12-31,365.1387
220,Comerica Inc,CMA,2020-06-30,38.1,2020-03-31,28.8108,2019-12-31,69.196
221,DXC Technology Co,DXC,2020-06-30,16.5,2020-03-31,13.05,2019-12-31,36.8618
222,Bank of New York Mellon Corp,BK,2020-06-30,38.3221,2020-03-31,33.1048,2019-12-31,49.1443
223,Walgreens Boots Alliance Inc,WBA,2020-08-31,38.02,2020-05-31,,2020-02-29,
224,W W Grainger Inc,GWW,2020-09-30,356.769989,2020-06-30,312.7732,2020-03-31,246.1357
225,VF Corp,VFC,2020-06-27,,2020-03-28,,2019-12-28,
226,Raytheon Technologies Corp,RTX,2020-06-30,61.1647,2020-03-31,58.4084,2019-12-31,92.0323
227,Pultegroup Inc,PHM,2020-09-30,46.290001,2020-06-30,34.03,2020-03-31,22.2463
228,PerkinElmer Inc,PKI,2020-07-05,,2020-04-05,,2019-12-29,
229,Microsoft Corp,MSFT,2020-06-30,203.0192,2020-03-31,156.8927,2019-12-31,156.4554
230,Medtronic PLC,MDT,2020-07-31,96.48,2020-04-24,98.6524,2020-01-24,117.7453
231,L3harris Technologies Inc,LHX,2020-07-03,208.6273,2020-04-03,177.7393,2020-01-03,208.6273
232,Hess Corp,HES,2020-06-30,51.81,2020-03-31,33.1286,2019-12-31,65.9601
233,Hasbro Inc,HAS,2020-06-28,,2020-03-29,,2019-12-29,
234,FedEx Corp,FDX,2020-08-31,219.839996,2020-05-31,,2020-02-29,
235,Entergy Corp,ETR,2020-06-30,92.9556,2020-03-31,92.2191,2019-12-31,116.745
236,Eastman Chemical Co,EMN,2020-06-30,69.64,2020-03-31,46.1179,2019-12-31,77.2525
237,DTE Energy Co,DTE,2020-06-30,107.5,2020-03-31,94.0538,2019-12-31,127.1881
238,Dominion Energy Inc,D,2020-06-30,80.2213,2020-03-31,70.5621,2019-12-31,80.0754
239,CSX Corp,CSX,2020-09-30,77.669998,2020-06-30,69.502,2020-03-31,56.9027
240,Coca-Cola Co,KO,2020-09-25,48.720001,2020-06-26,43.57,2020-03-27,42.4246
241,Broadridge Financial Solutions Inc,BR,2020-06-30,126.19,2020-03-31,94.4095,2019-12-31,122.3122
242,Automatic Data Processing Inc,ADP,2020-06-30,148.89,2020-03-31,135.8829,2019-12-31,168.4635
243,3M Co,MMM,2020-06-30,154.583,2020-03-31,133.9501,2019-12-31,171.5581
244,Pool Corp,POOL,2020-06-30,271.3713,2020-03-31,195.8825,2019-12-31,210.8855
245,CDW Corp,CDW,2020-06-30,115.7828,2020-03-31,92.6278,2019-12-31,141.4539
246,Synopsys Inc,SNPS,2020-07-31,199.22,2020-04-30,157.12,2020-01-31,147.51
247,Mid-America Apartment Communities Inc,MAA,2020-06-30,113.6493,2020-03-31,101.196,2019-12-31,128.5429
248,Albemarle Corp,ALB,2020-06-30,77.21,2020-03-31,56.1112,2019-12-31,72.3052
249,TransDigm Group Inc,TDG,2020-06-27,,2020-03-28,,2019-12-28,
250,Under Armour Inc. Class C,UA,2019-12-31,19.18,2019-09-30,18.13,2019-06-30,
251,Synchrony Financial,SYF,2020-06-30,21.9496,2020-03-31,15.7601,2019-12-31,35.0395
252,Mohawk Industries Inc,MHK,2020-06-27,136.38,2020-03-28,,2019-12-31,136.38
253,Aptiv PLC,APTV,2020-06-30,77.92,2020-03-31,49.24,2019-12-31,94.7291
254,Netflix Inc,NFLX,2020-09-30,500.029999,2020-06-30,455.04,2020-03-31,375.5
255,T-Mobile US Inc,TMUS,2020-06-30,104.15,2020-03-31,83.9,2019-12-31,78.42
256,People's United Financial Inc,PBCT,2020-06-30,11.3847,2020-03-31,10.7253,2019-12-31,16.2176
257,Akamai Technologies Inc,AKAM,2020-06-30,107.09,2020-03-31,91.49,2019-12-31,86.38
258,Celanese Corp,CE,2020-06-30,85.7714,2020-03-31,72.3273,2019-12-31,120.6565
259,T. Rowe Price Group Inc,TROW,2020-06-30,123.5,2020-03-31,96.9122,2019-12-31,119.7331
260,Paychex Inc,PAYX,2020-08-31,76.470001,2020-05-31,,2020-02-29,
261,Whirlpool Corp,WHR,2020-09-30,183.889999,2020-06-30,128.6662,2020-03-31,84.242
262,Unum Group,UNM,2020-06-30,16.3301,2020-03-31,14.4909,2019-12-31,27.8602
263,Sysco Corp,SYY,2020-06-27,,2020-03-28,,2019-12-28,
264,PepsiCo Inc,PEP,2020-09-05,,2020-06-13,,2020-03-21,
265,HP Inc,HPQ,2020-07-31,17.58,2020-04-30,15.3598,2020-01-31,20.9175
266,General Dynamics Corp,GD,2020-06-28,172.6443,2020-03-29,,2019-12-31,172.6443
267,Ford Motor Co,F,2020-06-30,6.08,2020-03-31,4.83,2019-12-31,9.1445
268,Caterpillar Inc,CAT,2020-06-30,125.5597,2020-03-31,114.1296,2019-12-31,144.237
269,Baker Hughes Co,BKR,2020-09-30,13.29,2020-06-30,15.2248,2020-03-31,10.266
270,Abbvie Inc,ABBV,2020-06-30,96.9961,2020-03-31,74.1652,2019-12-31,85.0381
271,Jack Henry & Associates Inc,JKHY,2020-06-30,184.03,2020-03-31,154.8736,2019-12-31,144.9218
272,Twitter Inc,TWTR,2020-06-30,29.79,2020-03-31,24.56,2019-12-31,32.05
